Model,Familie,RMSE Train,RMSE Test,MAE Train,MAE Test,MedAE Test,R² Train,R² Test,MAPE Test,sMAPE Test,Generalization Gap,RMSE Test / RMSE Train,Temporal CV RMSE,Group CV RMSE,Fit time sec
XGBoost,XGBoost,0.37360075330129244,4.192999152952071,0.28534522191489603,2.8508293124795547,1.8746295776367248,0.9987615225991606,0.7961319891628899,4.721717808109949,4.51275222657372,3.8193983996507783,11.22320850774785,3.0525789066621734,7.948751579160453,14.277803457998743
Extra Trees,Extra Trees,0.9995764945062402,4.523208432856585,0.7118125782428226,3.368655247480761,2.46195954454501,0.9911344706971257,0.7627573656604,5.376127614190294,5.257224321505109,3.5236319383503445,4.5251248480897,2.9585044310036146,7.889401425801421,8.424246332999246
Gradient Boosting,Gradient Boosting,1.0371660271366794,4.6761641799977856,0.783338867212304,3.447780749397131,2.4862155963388375,0.9904551487339017,0.7464409956318449,5.5818581701605465,5.400516077220462,3.638998152861106,4.508597522141509,3.4097131051253373,8.396391126667465,6.0112472500004515
SVR,Support Vector Machines,1.1124220074066997,4.702672537252339,0.723260388206773,3.255930277732254,2.0708665381156663,0.9890197622486797,0.7435580840287292,5.146801412035863,5.000626731734414,3.5902505298456395,4.227417747888055,2.7614032685918093,7.798550297299253,0.35133891700024833
Random Forest,Random Forest,1.2646529853109751,5.287319588540592,0.7476540175803034,3.7212743636793504,2.7161246816979627,0.9858089233174228,0.6758316131667113,6.108043430613171,5.84446142625912,4.022666603229617,4.180846168832988,3.355523901604897,8.162304885861356,14.128581250000934
LASSO,Baseline,6.165153432450328,6.621461077309065,4.645526550026577,5.185359253361208,4.461798680911272,0.6627434613238969,0.49159806230076986,8.445062377003772,7.958902162007813,0.45630764485873687,1.074013996546616,6.070446193476651,8.377226019518076,0.05519062500025029
Ridge,Baseline,6.123169194566715,6.850103393724214,4.655240021585846,5.373740509855391,4.716972992253801,0.6673212050799748,0.45588112746907905,8.760615320267078,8.201713677080313,0.7269341991574994,1.1187186203841193,6.075951254720748,8.38080531123109,0.04543395799919381
Linear Regression,Baseline,6.1157445887784325,6.928999668714716,4.672886564535071,5.471791706376274,4.602879601414983,0.6681274906265572,0.44327513673524555,8.89286259619209,8.325013419482131,0.8132550799362832,1.1329772798930315,6.106129963412627,8.577540520269192,0.015739208000013605
Dummy Mean,Baseline,10.616068206678571,10.830314365576996,8.234887331908551,9.34887294912358,8.991932249322495,0.0,-0.3601338896625601,13.909324610761983,14.127346754359612,0.21424615889842435,1.0201813095703023,10.360152712478309,10.521857825088428,0.021201584000664297
