Model,country,MAE mediu,RMSE
Dummy Mean,Albania,3.161813550135503,3.6719502207356203
Dummy Mean,Austria,9.549132249322495,9.56855333240354
Dummy Mean,Belarus,12.127532249322497,12.13497847951768
Dummy Mean,Belgium,2.2011322493224936,2.383889707811061
Dummy Mean,Bosnia and Herzegovina,13.684067750677503,13.75451446635366
Dummy Mean,Bulgaria,5.543532249322494,5.649881736751533
Dummy Mean,Croatia,1.9087864498645004,2.048728895431258
Dummy Mean,Cyprus,9.057732249322495,9.201268980983912
Dummy Mean,Czechia,6.390932249322494,6.4363159816334585
Dummy Mean,Denmark,13.502732249322497,13.540427746452245
Dummy Mean,Estonia,14.183332249322495,14.345230912560158
Dummy Mean,Finland,14.172732249322502,14.223711835206238
Dummy Mean,France,6.035132249322494,6.185582933468146
Dummy Mean,Germany,11.482932249322495,11.497102897796932
Dummy Mean,Greece,3.2532677506775043,3.4933260394068957
Dummy Mean,Hungary,7.666132249322494,7.839391929486774
Dummy Mean,Iceland,19.836732249322495,19.861787837234367
Dummy Mean,Ireland,6.130332249322494,6.63834148918865
Dummy Mean,Italy,7.397867750677504,7.468744192735096
Dummy Mean,Latvia,11.009132249322498,11.045870334340913
Dummy Mean,Lithuania,13.675732249322493,13.677052734970324
Dummy Mean,Luxembourg,5.758932249322494,5.861338094009476
Dummy Mean,Malta,4.846932249322497,5.863511151990966
Dummy Mean,Moldova,8.8505322493225,8.928234435558778
Dummy Mean,Montenegro,5.687840650406502,6.7313818054760635
Dummy Mean,Netherlands,17.024732249322494,17.048634394611238
Dummy Mean,North Macedonia,9.945267750677505,9.977536328807126
Dummy Mean,Norway,14.268332249322498,14.26943989850535
Dummy Mean,Poland,3.057732249322491,3.6853123976871727
Dummy Mean,Portugal,9.695532249322499,9.781482742286702
Dummy Mean,Romania,8.070667750677504,8.188460452479811
Dummy Mean,Russian Federation,6.773332249322498,6.851736509798969
Dummy Mean,Serbia,2.3999864498644983,2.600643684389278
Dummy Mean,Slovak Republic,6.178532249322494,6.759539288732486
Dummy Mean,Slovenia,8.993532249322495,9.007811041513012
Dummy Mean,Spain,5.543332249322494,5.635369931635259
Dummy Mean,Sweden,17.567132249322498,17.579445407213118
Dummy Mean,Switzerland,16.604132249322493,16.60545424590942
Dummy Mean,Turkiye,25.377067750677504,25.46303823235704
Dummy Mean,Ukraine,1.3104010840108369,1.403934669609784
Dummy Mean,United Kingdom,10.163732249322495,10.166065797343537
Extra Trees,Albania,6.246670360993636,7.068350889692395
Extra Trees,Austria,1.630153195866012,1.6582773430245479
Extra Trees,Belarus,4.568339731599923,4.664451026635294
Extra Trees,Belgium,2.6721272010912287,2.7076617101953704
Extra Trees,Bosnia and Herzegovina,3.863116430965897,4.002011033037547
Extra Trees,Bulgaria,1.0870675676444677,1.3442384201865374
Extra Trees,Croatia,4.342848123913521,4.475768715128508
Extra Trees,Cyprus,2.3220430989443828,2.8827437131546456
Extra Trees,Czechia,0.8622288308806219,1.0240518788668653
Extra Trees,Denmark,1.0339710478206114,1.186620585945577
Extra Trees,Estonia,5.24208453943001,5.773091922734399
Extra Trees,Finland,2.6355225492239724,2.892035145837281
Extra Trees,France,1.50802862438058,1.7707049333756704
Extra Trees,Germany,0.806550511414045,1.1413491044539001
Extra Trees,Greece,1.5691858391750373,1.702605648092593
Extra Trees,Hungary,3.87570175075102,4.156625631881201
Extra Trees,Iceland,3.4947338009631097,4.660759677584109
Extra Trees,Ireland,3.2669465781727864,3.987544511847902
Extra Trees,Italy,7.988627611059096,8.610013296453195
Extra Trees,Latvia,1.842886655356017,2.1108472493205874
Extra Trees,Lithuania,5.868594656679633,5.8808428931494285
Extra Trees,Luxembourg,1.4738075925029706,1.6595478116285276
Extra Trees,Malta,2.915680445080325,3.006076978782396
Extra Trees,Moldova,8.801102231915639,9.439026307001471
Extra Trees,Montenegro,3.3372874173853333,4.21566023394227
Extra Trees,Netherlands,2.4648143996654936,2.686386329604166
Extra Trees,North Macedonia,6.751102284668791,7.378267533663535
Extra Trees,Norway,1.055648770011402,1.1807992150154742
Extra Trees,Poland,0.7108290330336189,0.8270391130273058
Extra Trees,Portugal,3.7693428649526424,3.8930629873916627
Extra Trees,Romania,6.641783037494852,6.717764817527591
Extra Trees,Russian Federation,2.4754715811638506,2.7958034911391088
Extra Trees,Serbia,3.5066312546470626,3.9682050244471787
Extra Trees,Slovak Republic,3.037251113322398,3.792123765569762
Extra Trees,Slovenia,1.4669700405234067,1.5809271328816996
Extra Trees,Spain,0.8472808775273336,1.1278951134277364
Extra Trees,Sweden,2.306931808878184,2.4553780352241503
Extra Trees,Switzerland,3.269590161073981,3.31252928416983
Extra Trees,Turkiye,12.9325604507554,13.32789268719271
Extra Trees,Ukraine,1.0793410436301112,1.1731315484718787
Extra Trees,United Kingdom,1.628284350612543,1.8101118577891822
Gradient Boosting,Albania,5.455109445770452,6.468205295195919
Gradient Boosting,Austria,0.9147009965742428,0.9471326388026436
Gradient Boosting,Belarus,2.7924126502617126,2.9461542733445305
Gradient Boosting,Belgium,4.377098548598409,4.434774562141201
Gradient Boosting,Bosnia and Herzegovina,4.349949367163892,4.459647392085557
Gradient Boosting,Bulgaria,2.627093246797125,2.70812251564393
Gradient Boosting,Croatia,6.369727170009696,6.542220836873633
Gradient Boosting,Cyprus,1.7257858066833989,2.219112975605151
Gradient Boosting,Czechia,0.6671642699708571,0.8281547469525024
Gradient Boosting,Denmark,0.4822721411701195,0.5735915800177742
Gradient Boosting,Estonia,3.9276814497581514,4.441387426042478
Gradient Boosting,Finland,1.115868431547824,1.3240919723575006
Gradient Boosting,France,1.427131981349507,1.7064048325591843
Gradient Boosting,Germany,1.6662126111471878,1.8639801775836873
Gradient Boosting,Greece,1.7848940698998959,2.2107517144863227
Gradient Boosting,Hungary,3.5604979280357214,3.8204388317530382
Gradient Boosting,Iceland,4.653077487113615,6.231376602730238
Gradient Boosting,Ireland,3.6732821698376967,4.659487189702106
Gradient Boosting,Italy,6.2972999517281565,6.96583902762333
Gradient Boosting,Latvia,1.0472709892979934,1.1623298907718025
Gradient Boosting,Lithuania,3.8800048898392534,3.904099301467164
Gradient Boosting,Luxembourg,3.316048945596981,3.590927582183586
Gradient Boosting,Malta,4.8269191212455045,4.967055605050121
Gradient Boosting,Moldova,7.576730101155663,8.539674779934941
Gradient Boosting,Montenegro,3.3465217337758375,4.362327659703743
Gradient Boosting,Netherlands,1.4802704788075374,2.0607143348481447
Gradient Boosting,North Macedonia,10.117289160215638,10.354767976145315
Gradient Boosting,Norway,0.8889247601764054,0.9809619132472263
Gradient Boosting,Poland,1.6036964427530052,1.8517874095569893
Gradient Boosting,Portugal,2.8942763652570194,3.0570576022426543
Gradient Boosting,Romania,8.196212866353529,8.228655196292276
Gradient Boosting,Russian Federation,1.3627399504116624,1.4948888283235953
Gradient Boosting,Serbia,2.8793227213899457,3.701814075111603
Gradient Boosting,Slovak Republic,2.9022127720341273,3.443535151914045
Gradient Boosting,Slovenia,0.9847867994603547,1.0008122681351268
Gradient Boosting,Spain,2.968146858913852,3.4359541207416346
Gradient Boosting,Sweden,3.2699052875672066,3.310686836438331
Gradient Boosting,Switzerland,2.9154723254931865,3.0617689175092333
Gradient Boosting,Turkiye,13.098685233200058,13.364174435663378
Gradient Boosting,Ukraine,2.7275713323947977,2.8353595574424717
Gradient Boosting,United Kingdom,0.9206580997241929,0.964231693608887
LASSO,Albania,4.1932115360292626,4.8868624260985705
LASSO,Austria,4.27866882571154,4.288339197611318
LASSO,Belarus,0.8805330635863982,1.0866765360521073
LASSO,Belgium,10.120505151275292,10.140654255222627
LASSO,Bosnia and Herzegovina,9.604211962650645,9.772253406225554
LASSO,Bulgaria,1.1948020037557086,1.3404547146966739
LASSO,Croatia,8.891963937393513,9.04062484896602
LASSO,Cyprus,2.3047400368218858,2.5291648033726073
LASSO,Czechia,1.3915265405650672,1.4868220633727909
LASSO,Denmark,0.2985701255296703,0.36032848983555005
LASSO,Estonia,3.8139868808941655,4.343045408712876
LASSO,Finland,4.138071216428156,4.193973403670438
LASSO,France,3.2907824133571126,3.550110826117288
LASSO,Germany,1.158926052345214,1.3572376214657844
LASSO,Greece,5.121993836970577,5.349240024417247
LASSO,Hungary,6.547996455897757,6.670554030480168
LASSO,Iceland,5.9370299539910265,6.263296264971806
LASSO,Ireland,2.7013207904782464,2.9656333426273047
LASSO,Italy,13.213142324188698,13.274080241965196
LASSO,Latvia,1.341837295058059,1.5899394833367984
LASSO,Lithuania,5.914662013770803,6.012363307909086
LASSO,Luxembourg,5.983343376950513,5.984707581803296
