Model,Familie,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,F1 Train,F1 Train - F1 Test,MCC,Cohen Kappa,Temporal CV F1 Macro,Group CV F1 Macro,Fit time sec,ROC-AUC OvR,Log Loss
Logistic Regression,Baseline,0.6600985221674877,0.45847843352883677,0.5060123535075977,0.45847843352883677,0.45951868919610855,0.6055983594772726,0.7247389362213129,0.26522024702520436,0.27118470363266195,0.24612486544671697,0.6753227269095176,0.5659556353534421,0.08768470900031389,0.777832939107776,0.7570389662504903
Dummy Classifier,Baseline,0.15270935960591134,0.3333333333333333,0.05090311986863711,0.3333333333333333,0.08831908831908832,0.0404614542545577,0.16666666666666666,0.07834757834757834,0.0,0.0,0.12888042811515113,0.12072778914032326,0.015604209000230185,0.5,30.53945016220763
