Rundă,Train,Validation
1,1.063975314541561,1.0894316740152312
2,1.0322278688048445,1.0603333282761458
3,1.003500386073095,1.0363984129777768
4,0.9725573429065507,1.011872939220289
5,0.9463611964772387,0.9953165534065991
6,0.9196172886323638,0.9752223855111657
7,0.8940567706779736,0.9577972852602238
8,0.8709841682234916,0.9388240895620207
9,0.849185879092391,0.9207260913965178
10,0.8280510899678963,0.9064756893530125
11,0.8066774223272394,0.8856677601977092
12,0.787177975584821,0.8697352205834737
13,0.7687468488768834,0.8516448270983812
14,0.7500566279561054,0.8376689771326576
15,0.7316922384609537,0.8233701797520242
16,0.7146966275191162,0.8128862744424401
17,0.6992105186985034,0.798679324184976
18,0.683769714723273,0.7876525488568515
19,0.67000001046534,0.7779153687197987
20,0.6560801186757844,0.7701489536500559
21,0.6426517438234353,0.7629690330202986
22,0.6295009537077532,0.7532290990759687
23,0.6169846675744871,0.7464606718319219
24,0.6048694604144591,0.7386972602547669
25,0.592334755900793,0.7287018164628889
26,0.581278848984256,0.7227360250019446
27,0.5697583345832621,0.7151656895875931
28,0.5578597241603747,0.7074143414090319
29,0.5479986695345582,0.7035596454288902
30,0.5391436026590627,0.6970507738793769
31,0.5297034532058893,0.6893182273318128
32,0.5208897147918257,0.6841511282978988
33,0.5123830947843266,0.6806368209966799
34,0.5033006734646311,0.6756882969199157
35,0.495179897151524,0.6675828006572839
36,0.48760874955574185,0.6613544231144394
37,0.477949485409914,0.6541904763477605
38,0.46936088705026524,0.6494667224767732
39,0.46119418258710604,0.6410784953978004
40,0.45428302906817053,0.6367293321868268
41,0.44652420000695603,0.6325523050093069
42,0.43931586776928205,0.6305131514261408
43,0.432731503529883,0.6266011722931047
44,0.4269583252054162,0.6237055532089094
45,0.41985876862777444,0.6181558650441286
46,0.4142346823270001,0.6140901562644214
47,0.40721844961276144,0.6092751822093638
48,0.401211516931653,0.6050936228981832
49,0.3957817815130622,0.6026520856269976
50,0.3896694026501259,0.5992208421230316
51,0.3835446576406134,0.596366806728084
52,0.3777455388818209,0.5916376102988313
53,0.372770031550672,0.5898143260217295
54,0.3677885337482865,0.5861144883603584
55,0.3624028061039564,0.581757858940741
56,0.3568084909035483,0.5795220042147288
57,0.35188152257171346,0.5753363281851862
58,0.34794079197752403,0.5714537281452156
59,0.34378972897169796,0.5692103635974046
60,0.33944151614133905,0.5665891872855221
61,0.335455122835389,0.5647290504378516
62,0.3316400661019654,0.5619690050257415
63,0.32742669963754895,0.5583288422444972
64,0.32336721632902216,0.5567935171832399
65,0.31871473723341054,0.5517882563900657
66,0.314832116545337,0.5483143652175985
67,0.31067302039392836,0.5470813821728636
68,0.30741354468755605,0.545614895569842
69,0.30316206377294913,0.5415399694224683
70,0.29878959889955276,0.5375948150346919
71,0.2948279172216156,0.5339714876580529
72,0.29072637615225666,0.5320708289197306
73,0.2875580207512873,0.5305199652183347
74,0.2844247411391357,0.5284192173219309
75,0.28098060093002347,0.5254278251128953
76,0.27799568101536576,0.5228684583633412
