Model,Familie,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,F1 Train,F1 Train - F1 Test,MCC,Cohen Kappa,Temporal CV F1 Macro,Group CV F1 Macro,Fit time sec,ROC-AUC OvR,Log Loss
SVC,Support Vector Machines,0.8029556650246306,0.7656020894428153,0.742975841362938,0.7656020894428153,0.7532467532467533,0.8038726462371784,0.9796609702504488,0.22641421700369557,0.6366805209510988,0.6361355081555835,0.9315768450751158,0.5245335900613042,1.781136958999923,0.8931136412069,0.5571766055199905
Extra Trees,Extra Trees,0.7536945812807881,0.7264403103616813,0.6866512261249104,0.7264403103616813,0.7024557068006266,0.761918532018108,1.0,0.29754429319937337,0.5664256701510842,0.5621602967819861,0.9439394595214465,0.588563661150973,13.127347000001464,0.9083956669377464,0.5192558490354456
Gradient Boosting,Gradient Boosting,0.7487684729064039,0.7174822825024437,0.6870894375449295,0.7174822825024437,0.6980551122459837,0.7588522623463244,1.0,0.3019448877540163,0.5594656281136039,0.5542687389675809,0.8847044768038735,0.5699920583968263,29.806168708999394,0.8885325130328464,1.467931702857636
XGBoost,XGBoost,0.7339901477832512,0.6504230816226784,0.6638677414539483,0.6504230816226784,0.6567481613993241,0.7313047284177997,0.9959403671361774,0.33919220573685327,0.4920477269689822,0.4916998979875731,0.8777420318584978,0.5802470267786408,49.32941666700026,0.8900616656004338,0.5476733106984878
Random Forest,Random Forest,0.7142857142857143,0.6598927785923753,0.6528286528286528,0.6598927785923753,0.6534091669454667,0.7240520331527588,1.0,0.3465908330545333,0.4876024410666885,0.4844783046543194,0.903753097842789,0.567968104515436,27.417094583999642,0.8875474251996388,0.5649675846515433
Logistic Regression,Baseline,0.6600985221674877,0.45847843352883677,0.5060123535075977,0.45847843352883677,0.45951868919610855,0.6055983594772726,0.7247389362213129,0.26522024702520436,0.27118470363266195,0.24612486544671697,0.6753227269095176,0.5659556353534421,0.08768470900031389,0.777832939107776,0.7570389662504903
Dummy Classifier,Baseline,0.15270935960591134,0.3333333333333333,0.05090311986863711,0.3333333333333333,0.08831908831908832,0.0404614542545577,0.16666666666666666,0.07834757834757834,0.0,0.0,0.12888042811515113,0.12072778914032326,0.015604209000230185,0.5,30.53945016220763
