"Indicator","Valoare"
"N",40
"Predictori",1
"Grade de libertate reziduale",38
"R²",0.295170921725774
"R² ajustat",0.276622788086978
"Residual standard error",7.4986454534182
"F statistic",15.9137801934094
"p-value model",0.000291575459743209
