"Termen","Coeficient","Standard error","Statistică t","p-value","IC 95% inferior","IC 95% superior"
"Intercept",33.4016925624845,27.3398520769399,1.22172177334703,0.231651469205279,-22.5145833167964,89.3179684417653
"Log PIB centrat",-12.2738509954161,4.62622163117166,-2.65310483888502,0.0128031637556218,-21.7355366065639,-2.8121653842683
"Log PIB centrat^2",-2.50751411471027,3.50846237869938,-0.714704575409993,0.480505809882892,-9.68312536993366,4.66809714051312
"Creștere PIB",0.430965180728321,0.462842455224379,0.931127159714411,0.359475016518551,-0.515653928334059,1.3775842897907
"Inflație",-0.349033903330006,0.115881233509545,-3.0119967898103,0.00533689218976771,-0.586037637070628,-0.112030169589384
"Șomaj feminin",-1.24750531667906,0.271025827960665,-4.60290196718857,7.63806368900241e-05,-1.80181537380777,-0.693195259550346
"Fertilitate",-0.173003689958811,5.81832880332914,-0.0297342580329633,0.976482681926468,-12.0728222262021,11.7268148462845
"Internet",0.44610537641696,0.268833550033126,1.65941109791538,0.107810695184558,-0.103720968910555,0.995931721744476
"Educație terțiară",0.0338359008876847,0.0431574925809773,0.784009887140633,0.439391426288364,-0.0544310822190523,0.122102883994422
"Controlul corupției",6.7294107401045,2.26803162967368,2.96707094030814,0.00596909074532035,2.09076522180135,11.3680562584077
