"Termen","Coeficient","Standard error","Statistică t","p-value","IC 95% inferior","IC 95% superior"
"Intercept",153.039197553238,52.1252150635115,2.93599167632725,0.00621589740822893,46.7291205349013,259.349274571574
"Log PIB/locuitor PPP",-11.7762981983674,4.92956375634542,-2.38891284917632,0.0231702005843289,-21.8302097643023,-1.72238663243257
"Controlul corupției",18.8252849153135,30.7795712762303,0.611616216040392,0.545251379397424,-43.9500645768748,81.6006344075018
"Șomaj feminin",-1.32123796804784,0.300945237051521,-4.39029366602552,0.000122171025363529,-1.93501982564337,-0.70745611045231
"Fertilitate",-3.36702370586881,6.41930920564358,-0.524514959165492,0.603651261461792,-16.4592911473551,9.72524373561752
"Internet",0.546680186885178,0.30668725072058,1.78253313628369,0.0844594049032023,-0.0788125847977912,1.17217295856815
"Educație terțiară",0.0369434773588236,0.0460256437330297,0.802671605705573,0.428275783627469,-0.0569264419137411,0.130813396631388
"Log PIB/locuitor PPP × Controlul corupției",-1.13915196434622,2.84007993242266,-0.40109855759394,0.691098991033759,-6.93153317536284,4.65322924667039
