"Indicator","Valoare"
"N",39
"Predictori",13
"Grade de libertate reziduale",25
"R²",0.744184255054034
"R² ajustat",0.611160067682132
"Residual standard error",5.56561695738838
"F statistic",5.59435295006525
"p-value model",0.000117586664469271
"AIC",257.229870271393
"BIC",282.183294963338
"RMSE in-sample",4.45605984086444
