"Model","RMSE","MAE","MAPE","R² test"
"OLS",7.02982334155798,6.33452107259969,9.14504647997301,-0.416325895501422
"Ridge",6.07516123512537,4.8150614627521,7.15755802308844,-0.0577669421893152
"LASSO",6.5882931485939,5.83430620289832,8.57581092660914,-0.243999491781415
