"Model","RMSE","MAE","MAPE","sMAPE","MASE","Theil U2","AICc"
"ETS",0.680372175233472,0.611409737195825,0.883023850374319,0.882759016876518,1.4420772921174,0.335482652859715,-1.9866168983663
"Holt",0.680383615665657,0.611421511753377,0.883040037056852,0.882775710443678,1.4421050637099,0.335488293987731,-1.98661175493169
"ARIMA selectat",0.82951705360532,0.706506642753521,1.01375510961407,1.01811142156099,1.666373831267,0.409024048698628,-9.64736333623621
"Drift",0.829517053607663,0.706506642754661,1.01375510961564,1.01811142156262,1.66637383126969,0.409024048699783,
"Naive",2.02803980901503,1.56996804878048,2.23911028122548,2.28136643845649,3.70294278085904,1,
"SES",2.02807568602589,1.57001439340258,2.23917739174135,2.2814350712721,3.70305208976118,1.0000176904865,30.1637460965725
