"Model","p","d","q","AIC","AICc","BIC","logLik","sigma2"
"ARIMA(0,1,0)",0,1,0,24.0075210785825,24.6391000259509,26.1896059852991,-10.0037605392912,0.152467161522565
"ARIMA(2,1,0)",2,1,0,22.8000369451262,25.1529781215968,27.1642067585595,-7.4000184725631,0.128279203166451
"ARIMA(0,1,1)",0,1,1,24.3000677843086,25.6334011176419,27.5731951443836,-9.1500338921543,0.146777142929964
"ARIMA(0,1,2)",0,1,2,23.6726542002783,26.0255953767488,28.0368240137115,-7.83632710013913,0.134811169814435
"ARIMA(1,1,1)",1,1,1,23.849114028041,26.2020552045115,28.2132838414742,-7.92455701402048,0.127321845186889
"ARIMA(1,1,0)",1,1,0,25.3635863685459,26.6969197018792,28.6367137286208,-9.68179318427293,0.155277253671939
