"Model","p","q","AIC","AICc","BIC","logLik","sigma2"
"ARMA(0,0)",0,0,24.007521078591,24.6391000259594,26.1896059853076,-10.0037605392955,0.152296762837922
"ARMA(2,0)",2,0,22.8001582594685,25.1530994359391,27.1643280729018,-7.40007912973426,0.128091547075306
"ARMA(0,1)",0,1,24.3000662511877,25.6333995845211,27.5731936112627,-9.15003312559387,0.146598192524857
"ARMA(0,2)",0,2,23.672719885602,26.0256610620726,28.0368896990353,-7.83635994280101,0.134623298019967
"ARMA(1,1)",1,1,23.8491084214431,26.2020495979136,28.2132782348763,-7.92455421072153,0.127133479401387
"ARMA(1,0)",1,0,25.3635794501594,26.6969127834927,28.6367068102343,-9.6817897250797,0.155098293226253
