"Model","An","Real","Prognoză","Lower 80%","Upper 80%","Lower 95%","Upper 95%"
"ETS",2024,,71.412368807489,70.8571353672662,71.9676022477118,70.5632125385514,72.2615250764265
"ETS",2025,,71.8821605214312,71.0989118412729,72.6654092015895,70.6842850357137,73.0800360071487
"ETS",2026,,72.3519522353735,71.39135541704,73.3125490537069,70.882846178141,73.821058292606
