"Model","Alpha","Beta","Phi","AICc","SSE","Model ETS ales"
"SES",0.999899990417926,,,56.0680313103886,9.14239874953208,
"Holt",0.999899994650025,0.121733035237175,,41.5185445715932,4.08766562162083,
"ETS",0.988202014542606,0.000100004762554335,,38.1864872172884,3.22142823310816,"ETS(M,A,N)"
